File Index,Sample #,Date Time,11.5,15.4,20.5,27.4,36.5,48.7,64.9,86.6,115.5,154,205.4,273.8,365.2,Total Conc,Median (nm),Mean (nm),Geo Mean (nm),Mode (nm),GSD,Particle Density (g/cc),Firmware Version,Status
14,1,09:23:04,10.5605,53.2568,65.4466,77.5584,63.7355,52.171,58.7065,79.1628,83.2082,56.7613,15.0065,0,0,615.5742,52.7476,67.2163,50.7354,115.4782,2.1727,1.2,1.3,No errors
14,2,09:24:04,16.9166,73.051,86.4252,72.7296,62.6654,63.3556,70.3167,70.1092,58.0868,36.2843,12.4583,0,0,622.3986,42.507,57.7625,43.3408,20.5353,2.1471,1.2,1.3,No errors
14,3,09:25:04,9.8127,77.3766,92.8923,83.8187,66.1825,56.6514,58.9089,64.7851,62.0303,45.1401,20.0436,0,0,637.6421,40.7938,60.1423,44.1786,20.5353,2.1932,1.2,1.3,No errors
14,4,09:26:04,20.9202,97.5184,98.8141,85.2112,57.0952,44.919,56.8505,78.9559,78.1252,47.9764,8.6006,0,0,674.9866,38.4887,57.9023,42.2219,20.5353,2.2338,1.2,1.3,No errors
14,5,09:27:04,13.0238,91.0882,99.5981,83.0811,53.2558,44.7137,62.3877,86.7466,80.0465,41.9442,0,0,0,655.8858,40.1851,56.8112,42.6172,20.5353,2.1652,1.2,1.3,No errors
14,6,09:28:04,16.3462,79.3482,89.0057,77.8747,57.3482,46.6277,50.6735,59.7899,56.2387,37.4472,13.9516,0,0,584.6517,37.4791,57.0082,41.5842,20.5353,2.2057,1.2,1.3,No errors
14,7,09:29:04,8.9583,78.2743,101.184,98.1995,76.4888,62.0215,65.0401,76.9894,77.4884,54.0099,16.2258,0,0,714.8802,41.8179,60.6775,45.1891,20.5353,2.1649,1.2,1.3,No errors
14,8,09:30:04,18.1774,88.5334,93.4,101.9271,81.8089,60.1009,55.0688,68.4226,73.0608,53.1074,18.7996,0,0,712.407,39.0063,59.1986,43.254,27.3842,2.2065,1.2,1.3,No errors
14,9,09:31:04,16.8039,84.7598,100.0807,83.2982,59.0923,51.6587,63.6542,77.5447,70.5817,41.5401,7.4447,0,0,656.459,39.7568,57.0242,42.4128,20.5353,2.1738,1.2,1.3,No errors
14,10,09:32:04,11.4183,74.7184,80.8596,59.4342,55.2129,66.897,78.7029,73.3445,52.79,26.7089,4.6123,0,0,584.6991,44.8813,55.5205,42.8683,20.5353,2.0782,1.2,1.3,No errors
14,11,09:33:04,13.9859,51.1653,63.7501,60.4155,50.3054,53.2913,70.5345,85.3371,72.4745,36.6403,0.9063,0,0,558.8062,53.2148,61.7621,48.018,86.5964,2.0984,1.2,1.3,No errors
14,12,09:34:04,16.7237,52.7137,53.6621,59.2448,60.4252,59.3426,58.1023,56.3828,49.7349,36.4836,19.8309,4.8619,0,527.5085,47.6322,64.9211,47.6444,36.5174,2.2145,1.2,1.3,No errors
14,13,09:35:04,10.2453,41.6145,60.3304,58.6835,46.7021,43.6694,55.9477,71.7832,73.64,51.8449,16.5168,0,0,530.9779,58.2548,69.9947,52.7545,115.4782,2.1933,1.2,1.3,No errors
14,14,09:36:04,0,53.189,69.5088,66.3374,49.3437,44.1069,55.6621,72.2219,67.7875,39.6581,5.9031,0,0,523.7187,50.172,63.066,48.3851,86.5964,2.1107,1.2,1.3,No errors
14,15,09:37:04,10.5239,42.7503,52.8107,60.3125,55.4114,52.2509,56.9345,64.4515,58.2999,35.287,7.6837,0,0,496.7164,49.8276,62.6244,48.1975,86.5964,2.1033,1.2,1.3,No errors
14,16,09:38:04,12.1348,53.9036,55.7211,57.1314,63.0166,67.3381,65.8378,57.6679,50.199,39.0119,20.8506,2.1991,0,545.0119,49.0643,64.6167,48.3006,48.6968,2.1663,1.2,1.3,No errors
14,17,09:39:04,0,43.2583,56.1141,43.119,48.6274,67.4756,81.7681,75.6451,55.4342,29.9268,6.3247,0,0,507.6933,55.8176,63.4833,50.7961,64.9382,1.996,1.2,1.3,No errors
14,18,09:40:04,8.3748,35.4258,48.9968,56.608,62.9308,69.0258,70.2955,59.8044,33.4773,2.1506,0,0,0,447.09,44.9146,50.9937,42.5999,64.9382,1.8535,1.2,1.3,No errors
14,19,09:41:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.3,No errors
14,20,09:42:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.3,No errors
14,21,09:43:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.3,No errors
14,22,09:44:04,0,0,0,0.0062,0.0078,0,0,0,0.0586,0.1029,0,0,0,0.1756,141.3495,131.4082,123.3911,153.9927,1.5228,1.2,1.3,No errors
14,23,09:45:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.3,No errors
14,24,09:46:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.3,No errors
14,25,09:47:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.3,No errors
14,26,09:48:04,0,0,0.0074,0,0,0,0.0629,0.084,0,0,0,0.1277,0.203,0.485,294.7882,248.6822,201.8481,365.1741,2.0879,1.2,1.3,No errors
14,27,09:49:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.3,No errors
14,28,09:50:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.3,No errors
14,29,09:51:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.3,No errors
14,30,09:52:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.3,No errors
14,31,09:53:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.3,No errors
14,32,09:54:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.3,No errors
14,33,09:55:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.3,No errors
14,34,09:56:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.3,No errors
14,35,09:57:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.3,No errors
14,36,09:58:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.3,No errors
14,37,09:59:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.3,No errors
14,38,10:00:04,0,0,0,0,0.0285,0.0471,0,0,0,0,0.1695,0.3307,0.2358,0.8114,278.4367,264.6858,236.3164,273.842,1.7841,1.2,1.3,No errors
14,39,10:01:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.3,No errors
14,40,10:02:04,0,0,0,0,0.0285,0.0471,0,0,0,0,0.1695,0.3307,0.2358,0.8114,278.4367,264.6858,236.3164,273.842,1.7841,1.2,1.3,No errors
14,41,10:03:04,0,0.0234,0,0,0.0565,0.2813,0.2756,0,0,0,0,0.1117,0.1218,0.8702,61.9038,125.3395,83.9922,48.6968,2.3375,1.2,1.3,No errors
14,42,10:04:04,0.1633,0,0,0.2092,0.6653,0.6438,0.1572,0,0,0,0.3006,0.3941,0.1785,2.712,49.6305,113.6815,69.6659,36.5174,2.6874,1.2,1.3,No errors
14,43,10:05:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.3,No errors
14,44,10:06:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.3,No errors
14,45,10:07:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.3,No errors
14,46,10:08:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.3,No errors
14,47,10:09:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.3,No errors
14,48,10:10:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.3,No errors
14,49,10:11:04,0,0.0129,0.0135,0,0,0.137,0.2948,0.2904,0.1231,0,0,0,0,0.8717,74.3303,75.3184,71.2561,64.9382,1.434,1.2,1.3,No errors
14,50,10:12:04,0,0,0.2747,0.1298,0,0,0,0.175,0.3275,0.3061,0.1278,0,0,1.3408,110.4006,101.0913,76.6343,115.4782,2.3149,1.2,1.3,No errors
14,51,10:13:04,0.105,0,0,0.2457,0.3064,0.0625,0,0,0,0.2751,0.3386,0.1869,0,1.5203,141.3384,121.8484,79.5388,205.3525,2.7731,1.2,1.3,No errors
14,52,10:14:04,0.0622,0,0,0.2444,0,0,0.1682,0.784,0.8952,0.3602,0,0,0,2.5141,100.9846,97.477,86.9426,115.4782,1.7477,1.2,1.3,No errors
14,53,10:15:04,0,0.2972,0.0971,0,0,0.3031,0.6896,0.6656,0.1218,0,0,0,0.1399,2.3143,69.4521,81.628,61.5666,64.9382,2.101,1.2,1.3,Inlet flow error; Charger flow error; 
14,54,10:16:04,0.3839,0.9159,0.8233,2.2206,3.5777,3.7222,2.6096,1.1326,0.5278,0.5369,0.4737,0.1982,0,17.1224,45.0496,56.7019,45.6001,48.6968,1.8823,1.2,1.3,No errors
14,55,10:17:04,0,0.1647,1.1436,0.7841,3.397,5.7643,5.4429,2.034,0,0,0,0.9642,1.0354,20.7301,54.6268,78.3387,58.727,48.6968,1.9389,1.2,1.3,No errors
14,56,10:18:04,0.4398,0.2386,0.4515,3.5792,3.1809,1.161,0.0244,1.2175,2.6665,2.3244,0.4775,0,0,15.7612,42.5753,73.5763,55.6371,27.3842,2.1466,1.2,1.3,No errors
